,textID,selected_text
0,f87dea47db,last session of the day  http://twitpic.com/67ezh
1,96d74cb729,good
2,eee518ae67,shame!
3,01082688c6,happy
4,33987a8ee5, http://twitpic.com/4w75p - i like it!!
5,726e501993,great!!
6,261932614e,hates
7,afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked"
8,e64208b4ef, and within a short time of the last clue all of them
9,37bcad24ca, what did you get?  my day is alright.. haven`t done anything yet. leaving soon to my stepsister though!
10,24c92644a4,bummer
11,43b390b336, i checked.  we didn`t win
12,69d6b5d93e, .. and you`re on twitter! did the tavern bore you that much?
13,5c1e0b61a1,"sad,"
14,504e45d9d9,feel
15,ae93ad52a0,hate
16,9fce30159a,miss
17,00d5195223,cramps
18,33f19050cf,nice
19,f7718b3c23,"i`m going into a spiritual stagnentation, its exploding my ego!. i now realise, i`m not all that great. and i`m ok with that."
20,9ef44428d0,stupid
21,be634ebeb0,dead
22,3dcf4f7e13,bad.
23,f0ef04109b,about to go to sleep
24,8be365118e,lame
25,c50bdd4567,cool
26,334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)"
27,b783916431,"huh, another scarepoint coding sunday"
28,1fa8e6ad66, look who i found just for you  --->  http://twitter.com/djt2009
29,be38b29042,hot
30,95701e8ed9, guess that depends on if you want to be on the jury
31,4dd58ecd2c,resorted to eating mickey ds alone.
32,cf553cccd5,"there is a faux gothy chick looking at me, sorry i am not going to camden and i like pop-punk and jimmy eat world"
33,55c69c2d52, did he ask for your twitter id? your sun sign?
34,9b1a52cc02, where`d you go!
35,cce5c4744a,watching body of lies...good film
36,c7f9d559e2,happy
37,3d2478db59,so i really need to put the laptop down & start getting ready for  shindig...but i`ve missed my twitterloves all day
38,6d846d7d50,sorry
39,599f51af6b,sorry
40,87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much
41,6506dc55ff, i always forget something when i travel. i am at newark airport.
42,746d87f93e,should have left car and walked home! i might need someone to rescue me with petrol! light flashing
43,ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.
44,d3d7b13278,"happy,"
45,ddc07db84e,hope
46,67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...
47,17d18ba9ef,wonderful
48,ab57d75f20,sorry
49,f0acd25d8e,not happy
50,cf3b068b03,is watching acoustic performances! & in the mood for a good 'friends' episode! i miss that show
51,d6c34fa875, i`ll oscillate from one to the other.
52,614aed9113,i`m so very tired...and have insomnia.
53,dfa577d3c1,thanks
54,10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.
55,a0bfb12773,"nice,"
56,71f4a9b495, u so dirrrrrty... why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car
57,d33ed264b3,almost got a kitty yesterday...but it didn`t work out
58,77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night."
59,fe1deac869,nice
60,e591a725ef, i still dont know what we would do though
61,2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?"
62,a7e4ad250a,change of plans. i am staying in brandon.  no papaya salad for me.
63,7d87899024,suck.
64,461b51fa58,at starbucks with my love. eff school. i have work later too.
65,c31d79c440,i just cried whilst watching hollyoaks  .. i need a life! lol
66,32ee7ef6c2,forward
67,29f805a7d2,terminator salvation... by myself.
68,d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!"
69,a04c8c8695, why do i have to enter my registration details every time i update?
70,25e42b2bf2,love
71,5843d17b1d,fan
72,474d10ff48, tgif is right...i think i broke my toe last night - on my bad foot.
73,38e69da3a1," oherr it`s soon then, do you have plans? i had a party on saturday  x"
74,972dc5787d,_lamont yr very young looking dude
75,0ba6aaf9aa,wrong
76,7a81537034,at&t cheated the system and now i have no green day tickets  **** you at&t!
77,311d2b185b,tracy and berwick breaks my achy breaky heart  they split ways in the hallways.
78,1e46d72ec6,wish
79,390f169584, im a lady and ladies don`t move couches. they direct where the couches go
80,58129e4130,thanks
81,e6c9e5e3ab, 26th february
82,cb5e709de8,guess what? mom adopted a kitty today (11 months) his name is corky
83,a14b4ff440,happy
84,5d57a5eda2,thank
85,1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. time
86,c2ea5cb58b,feeling
87,cde0016d6d,"hurts,"
88,5fc411e8d1,_berland lmao i know i know
89,5ffb19ae8f,gnight shar   <(` `<)vega(>` `)>
90,76da985a47,the underwire in my bra is sticking out and poking me in the armpit
91,3a98aa4762,happy
92,886545bbab,"yes, i am"
93,2afe118dc3, i can`t call mitch!  im from sweden!
94,704c53f4cf,happy
95,71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet
96,c238c4dbb7,hard!
97,dc73e85417,take antibacterial to school to clean your hands when you cant go the loos
98,af63915fa9,i`m leaving work now. trying to decide if i return on sunday afternoon or monday 4 am to meet a noon (uk time) deadline.
99,eb2fc4d281,hope
100,f9382a1f7b,"oooh, sunshine! a patch of sunshine! and it will be gone by the time i leave work and replaced with rain.  /vent"
101,54670ca807,skype call with billie but my webcam dont work
102,3ab338c459,great
103,c7c7f7f025,fml not having a car is prohibiting finding a job
104,1256e6a4d2,"  lol since i got twitter a little while ago, it seems like loads of people setting up an account"
105,990cdeae87, i want to see david cook!!
106,9a55d83c79, yeh me 2
107,c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?
108,0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!"
109,297f7d9e0f,miss
110,68901906a4,toy story 3 trailer premiered with up. i need my computer back.
111,3112944847,ughh on the phone with hp!
112,8f8334ffa2,and- hand made by dan & jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart'
113,322546026e,yay
114,e6c154f9be,sadly
115,e96d849b35,awesome
116,124e30d941,happy
117,fbb5742bbb,_adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..
118,e90acf3c42,knee
119,0b0944285d,might have to go back much earlier than expected. bye bye bay area
120,a11da2d3bf,"playin city of villains, wishin my buddies were playin with me....."
121,161bfc7c8a,good
122,4a65010643, riley hacked my twitter!  hahaha :]
123,1b460c82f0,big sad face   bing doesn`t work on iphone.  it just takes you to the regular mobile live search.
124,43e91a5488,liked
125,410dd99aa3,man im so sad school is ending  but then again high school might be better :o
126,b3eadfc565,hilarious
127,480894125b,best
128,001617fca4,oh my god!!! i cried so much!!! watch this guys from bgt  http://bit.ly/5t5xz
129,52f2f23473,my near daily exercise is starting to show results.
130,e7e27b0c91,welcome!
131,834dc73c0c,bout to hit pmark then make one of my final meals wit the housemates..
132,aeb0e9d730,: you get to go home and i have to go to work
133,c672c9da1d,voted for  on cmt.com
134,cbee1946d3,nice
135,b1999f0951,sunburn
136,25510fbf89,day
137,bcb9426abb,wish
138,0d29624200,"i <3 rupert grint......& of the boy, ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him"
139,3f0f5891ab,love
140,0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? a jerk!
141,11de8c0456,lost
142,d5712716e9,thank
143,3f90f95beb,funny
144,c108e09b19,tweetdeck is acting really strange! hum........ reinstall maybe. update on the horizon? or is it just another adobe memory leak
145,7223fdccc2,tikcets are only ï¿½91...each...but i so want to go
146,f254748cdb,happy
147,256453d14f,hot
148,8fd01857a9,is dreaming of the weekend... awake!
149,37227c0dbf,"oh, **** me. i`ve just returned from the supermarket of doom to find that i have nothing to drink here."
150,20aff2fcb1, yay but you missed naptime
151,ca223af36e,good
152,90977e9614,love
153,433b1ab9ea,ahhh my mommie got me new sheets for my bed  so comfy
154,37771d1bc1,_celeste  finally some sleep in silence
155,fa99046452,im just up :-| and its 12:43 :o  im so lazy thank god its a bank holiday
156,14760477ad,tired.
157,da908a6635,i have to poop...   is hogging the shitter
158,2053a455e9,yes! im down to 50% full on my dvr  i was at 98% like 3 days ago... lol i swear if i didnt have a dvr i would never watch tv
159,1ea547383b,happy
160,6634c62acf,hahaha! alright  ..
161,c7240790da,good
162,08ede23635,good
163,4e87dcff0e, what are you? flavor of the day?
164,4b0b53bc98,weathers let me down this morning...ugh!...hada gd nite tho!
165,fd3a622954,just listened to condre scr and got an invitation to watch their live concert on june 20th in munich http://bit.ly/daxa0  #postrock
166,e34af4fd97,happy
167,0e8aa10a4e,cute
168,29148dc95c,love
169,56a15cf6ca,hate
170,b99969c2fb,is online  http://plurk.com/p/stjdg
171,b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!
172,5ff525b74b,worse
173,4fd80e66e0,a dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/
174,e77a8f8f2d,twitter has spoiled all the fun. frustratingly slow!!  couldnt even bid properly!
175,4ea7102112,_chick haha. i completely agree
176,6a14956779,"if we don`t pack, she can`t leave, right?"
177,7c2fcb712e, ****  lol....where u headed to?
178,cdd172d6a7,great
179,d2a21b3cb7,missed
180,799e17e7a7,nice
181,0a49cdbdf6,miss
182,4a13c1093d," between the garlic pills, the spider bite between your toe (lol-classic) and you always being hungry. u are killing me 2 funny"
183,9407ce6ccc, *sighs* ah well.  maybe my second email will clear it up and get him approved.
184,820f19ca44,"  missed all your tweets again joe, **** that time difference!!! (uk) dont 4get about your fave supporters in the uk!!!  ****"
185,683bb73c09, --that came to my mind. so i said it. and it has now been adapted into my family`s vocabulary
186,0d14593b11,looking forward to body works today
187,9ac13b3739,messed
188,16ee71e6df,sadly
189,f5d47f04f5," too much? no, not unless one of the pillows ends up suffocating the one sleeping next to you."
190,e131c496a2,meeting my best friend first thing in the morning to the gym! omg i am still so shocked. i hope you will get better soon
191,bc6d7b4364,lost
192,c87be630b5, yup theory is great but the reality is beyond imagination...  i also made the same planning not knowing vs will fail on me
193,e4ad1684bb,glad
194,f7835156a5, woot!
195,03bb148b87,"'i don`t like monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it."
196,b47c430fda, ???    ?????? - http://bit.ly/nack2
197,0234e16010,"waiting for the last movie to finish then am test screening ghost of girlfriends past, glass of wine and lolly bag in hand, yay!"
198,be9ed19513,happy
199,bf7240df91,must head back to the office
200,2f883c6eb1,st joe is dirty.
201,a1320a5050,http://twitpic.com/4w67k - camping at black butte lake
202,d72a60bee8," are you getting my messages or do you have to add me to recieve them, soz i`m new to this"
203,bc9ebe0002,hate
204,64ddc1f8a2,sick
205,03f6b8d900,lost
206,2d475b1b23,depressed
207,87473f5175,crying
208,7a09871d21,_brown been holding onto this one for a while  http://twitpic.com/4w5eh
209,96ec2855e4,wish
210,45cf9ba329,back from town and my mac crashed on me  but it`s better now
211,bab68144cd,archie andrews what were you thinking?! veronica?
212,fc49e426f5,best
213,a172818c9e,happy
214,036191bb61,i am watching blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough
215,3ef85c201c,bummer
216,ea348ea738, he is the truth! but what about maxwell? you can`t forget the future father of my children!
217,fd10f463c9,http://twitpic.com/665jw the racoons ate our bread!
218,e6e02e1be6,day.
219,8112c62d00,"_in_a_story glad i`m not the only one. he`s our baby, and i`m terrified he`ll think we`re never coming back."
220,0f89951346,stupid
221,f3ec0395b0,  it`s very pleasant. i sooo rarely just have time to kill...
222,37ffa83550,great
223,cb8c730261,good
224,be33b5cb9a,again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   will keep going
225,4fed31099f,sucked
226,de288eb45b, what causes the frustration buddy?
227,7ab82d9fda,thank
228,9d8a45d308,depressing
229,d25c4179f6,sorry
230,6cd35dd82e,day
231,65275b51e2,going to bed  cant take thiss any longeerr maan. [u]
232,9fae9e3145,good
233,e515132ae4, thanks...i really do appreciate that. i know it will be the hardest thing i have ever done
234,df3c7485ae,miss
235,bd8ba2ad7e,love
236,58be40735c,stopped
237,b5a0a16fd7," hi simon, let me know when it`s done"
238,044f146e5c,amazing
239,a8e17db0cc,poor
240,abda0ac082,day
241,b01506af48,"why do you think people say, 'save the drama fo yo mama?' i`m sure even yo mama wouldn`t wanna listen to ur drama. ode to mother`s day!"
242,53969f2468,hate
243,4df63939ef,failed
244,f43efa3560,pretty..
245,c89e41fc7c, follow me too
246,b9ec075666,bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?
247,ca333e378d,bored!
248,5a91b175f6,goodnight
249,ac00adda49,sick
250,cf9dc7479a," but i do emily ahahha you scare me, so it would work"
251,005e2e60d3,now i need to change my monitor
252,0b1fad03e9," i know dude, i`m doing re-runs, making jenny watch them now too so we can have conversations lol.  haven`t been online much"
253,2c72a5582a,what about me ??  i vote every day for you !!!!!
254,af0778ed50,fun.
255,1e0416ec46,"just rocked home from maccas, and now signing a petition for big bang to tour aus  lol"
256,1e6f72ea44,sick..
257,cc930f7aa8, eagerly anticipating twitpics
258,9c202174a3,"lots of tasks to complete today. first, wecloming new members to canadamigos social networking site, www.canadamigos.com, and coffee"
259,b9a1df7a8a,sux
260,7b3132d3cc,chillen trying to figure this thing out gettin drunk
261,5f80970983,yay doctors  now interview then back 2 the doctor`s for blood work
262,f008d91039,filming at a carnival for my music video... it reminds me of the cherry festival that i used to go to back home... ahhh memories...
263,c223721eed,feel
264,7f8a3308f8, propellerheads has been on my harddrive for a long while. just got my music repo back in shape this we and felt nostalgic
265,3f7adda0a4,day
266,6c60cf0bb2,sorry
267,f77651be05,would wish the severe migrains would stop!!! doc`s prescriptions arent working
268,aff740a028,lovely
269,c3f1116734,suck
270,4b57011c85,revising for exams
271,cb4266c560," you should so host the next logies, i only laughed at your bit really"
272,dcb3bb2912, hi jordan i`m gonna all of u...i know ur busy and i know ur probably tired. but please reschedule nc. don`t leave us out.
273,f61b40624e,__joy
274,b6d2229b03, i`d love to but i think the trek from london would be a bit too much
275,299fda8c5b, hey hey
276,fbea09d42d,isnt
277,1b62e0c672,feel
278,2452a0aa6a, i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol
279,8a821c6d63," lol, very true. maybe next year. i loooved that siggy, and i don`t remember what the password for the mod thing was  cake?"
280,0f93ebfb23," lol, get watching it again  hehe"
281,dd655c5aee,great
282,e94ceb6edd, btw - downloaded iphone 3.0 sdk
283,61e8b484df,straighening my hair and its not going as straight as i want it to be what a  bummerrr for me
284,5be41389ce,sad
285,bd0f0ebc57," me? a doctor? *laughs* oh, no, no, no. i was _crane`s patient at arkham aslyum, but now i work for him"
286,772ba56ce6,day!
287,390f00c85a,weird
288,4a680661d5,congrats!
289,e2505e6219,thanks
290,0d85e6d515,"done at disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace"
291,086671fad9, ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.
292,9c99cd9396,good
293,f35cc8bb35,wont
294,5ba64af2fd,i`m extremely hungry.... and the only thing i have in my house is soup...  i don`t like soup... *pouts*
295,dbd82ea5bd,hilarious
296,8b6c53f38b,love
297,e8cb7f18bd,happy
298,9ea273deaa,lost
299,cf0d831059,starting the video editing of the first spanking movie we did with mina ... it will be added to the next update
300,8f0bafc9dc,"   in effect, your podcast is the audio version of your book. isn`****? (plus, it has the added charm of banter  )"
301,0888d7dab7,"sunny synday morning. nicole is up later than usual, mommy got some sleep"
302,04d3c2d056,browsing  find everything about university & interior design.
303,8bbaca6e4b,i have not tweeted for sixteen days! i miss it =( i`ve been having fun though! =d ingrid on mon was frakking awesome  bbq today!
304,4a9529e753, visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas
305,8be2d4f69f,excited
306,d9c10546e6,ugh
307,90be8eaffb,i want a new phone  i`ve seen too much cellphone commercials (
308,8ba332dbbd, we`ll test that theory  with no right arm to strum with.  got a feelin i`ll be humming my new tunes for a while
309,1086c26e82,cool.
310,b357b9e7d2,amazing
311,0050eebd18,  tis very useful indeed esp. for newbies like me!
312,426cb788e5,gonna go and see my sister at mount sinai ....  she`s there for at least another 24 hours.
313,d30d23e543, it was just the handle tg
314,04a204382a,backe backe... muffins!!!
315,2bc1a7126b,good
316,a2fb29c072,lasttt mondayyy of classs
317,a2bbae6c4c,fun!
318,0ce30035ac,"i just walked into work, all the while thinking that i was sitting in bellagio this time wednesday."
319,b3505b0aa7, unfair  i wanna go too.
320,99fcc18a8d,good
321,2b6bc6920b,kill
322,d40dd3b17b,sad.
323,5aa8a5280f, i knooww  & my hot water bottle iss in whangamata without me. ahhhhh
324,7dd57c2598,jealous
325,0142108215,thank
326,f4aba8da1c, the hotel should be thankful
327,9cf9045a3c,bad
328,1962095a32, rofl that`s what we like to hear
329,9acf7846ab,"frustrated,"
330,e4d58eb70f,is anyone awake?!?!?!?! oh my god i am dying here. i want to go to sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep. :[
331,791b4a40af, we do! its been to long! i think i have next weekend open. when are you going to have the house warming party
332,0c415791d1,"change of plans, working inside bar tonight"
333,3bd0bff670,thanks
334,c7f27553b8,good
335,a717783c80,kill
336,5a2add1cd8,arghhhhhhhhh... i can`t keep up with these twitterbones peeps
337,5999397144,undervote is just going on  i`m all overalled up
338,54a3eab849,making german apple slice  nom nom nom
339,77b6b38e7e,looks like its another night at the office lol
340,dd6ea8c37a,hurts
341,af08dd0be5,got about 2 hours sleep.
342,3cd447856a,painful
343,d7765a3fd6,lol..2 people in falcon..and boo one of them being becca
344,509033a1ff,i really need to earn money... so that i can watch the pcd concert
345,b09f14d65a,poor
346,3160620b36,mozzer cancelled tonight by the looks of it.
347,b2e3ebc647,"waiting for aaron to get into town, and then leave him for work. booo"
348,1f9644b008,morning tweat tweat twitter
349,1fee7a1358,headed home ... charlie`s at the vet
350,42d3659c3d,i wanna b maliks from taking the stage
351,8746563ae3,happy
352,01fb29c047,bored
353,065e4c2dba,unfortunately!
354,d0380dbe70,about to go to leeds shopping
355,d0c092c3ee,"sadly,"
356,ed92ed183a,"it`s 20:50 hs and i`m still at the office...really tired,wanna go home!"
357,75d0302de7,yay!
358,96c5092f80,fun
359,ddbc8dba62,@ lovelytrinkets i like the way you worded that about rocky road
360,80b61dc4e6,favorite
361,37897b1693,fair.
362,7a4af13b01,i have nothing witty to say
363,000ceaec55, me too.
364,97cd2255be,hi ho  hi ho it`s off to work we go
365,bebfd966a0,thanks
366,bebcdc05ad,welcome
367,e2ea1af68e," hey, candis."
368,25c3c99b1a, i was never a good stereotypical teen
369,ee27c73f40,happy
370,f90a6f5da0,sorry
371,49e9fe8b96,i want to go to singapore but my mother seems not
372,b34a3e3d72,jb on the front of factor x!!!!! wooh contest timeee
373,0a96d05fdf, so u aren`t going to be in chicago
374,ab3f55a84d,love
375,0437867c21,tired.
376,80ea9ba96f,lovely
377,4914c3c579,fun
378,33bb4fcc72,thank
379,f0da745521,awesome
380,351d279fba,"oh god, a moth was living in a **** power outlet!  (actually, my powersquid.)"
381,b5237966b8,"i am craving burrito boys - large halibut, with everything on it, no jalepenos, 1 line hot sauce. can anybody hook me up?"
382,55cec41587,oh is that time for real?
383,2cbc372326,so now we`ll pay more in sales tax...great.  even worse mom and pop businesses have to double what they pay in business licenses.
384,8997a62a75,love
385,bce5834e03,misses
386,a9b9f7a878,day
387,d72edc0bb2,no tv and no internet make catherine something something?
388,2fdd2501d1,anyone have some advice??? i need it!!
389,5fcaa99ec8,just found mj mouse flats at djs. of course there are none left in my size
390,3dfd82c60f,worse
391,16f31448e1,"so now that i have a whole 20 followers, 5 of them actual people, i don`t know what to write in here anymore"
392,bab04dc463,holiday
393,109b636fa5,  i thought  was against licensing stores bc it takes away from the experience they want to provide
394,cc29d748cb,_a_michael it doesn`t look like you`re tired in the pic.  don`t work too hard.
395,bf4b4c0f0b,so i slept in a little...well a lot. whooops
396,64b297c15e,cute
397,bc1fbaf4a1,good
398,f59d8d766f,suck.
399,8a1bf14c15," well i will be making beds, creating noise & cleaning cleaning all day long.  with music & a smile  x"
400,acfcaea70b,"  bit of new scientist, this weeks an last weeks, and watership down"
401,97e53162ff, dear oh dear.....
402,c0b7788e74,my monday running so fast!
403,15c531b290,lame
404,23efa13d7c,happy
405,c44b286776,_cal work or...(hehe mind in the gutter)! i`m sittin here doin this student loan thing.
406,29ed43caca,good
407,6693f9c143, you`re surrounded by them! i have no official nieces/nephews yet
408,94e0c7c638,great
409,6114b48cb9, nope i have a fifth generation ipod classic  it likes to be dumb
410,32463a2751, meetings are overrated.
411,65ed990460,love
412,505f50a90d,died
413,481e268403, i know.  i am definitely going to try and see up this weekend.
414,5ce968f9be,nice!!!!!!!!
415,52ad93b3fe,miss
416,e892068fd3,day
417,226adfd977,fun
418,47f11efc72, this creepy guy when i was walking the dog  i`ve had my fill of creepers for the day
419,d7b1ac80c4,good
420,401cc22f49,is on facebook
421,583bae2083,i get to drive my dad to the airport so he can fly to vegas for the wsop... i wanna go to vegas...
422,f003be5308,franco made breakfast for mom. here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw
423,49ce2570e5," http://twitpic.com/4w9h2 better in person had to send u this, i feel like mouse from 'the american tail' . over in ri!"
424,0693a85163,boring.
425,4b273cd32a, thank you! you should know that i am both happy and sad (all at the same time) to know that. you`ve got 'the right stuff'
426,22003c0e96,"_merchant i agree, but teenage daughter will be spending my money on the movie of their concert this week."
427,0fe049b7ea,someone out there will soon  be the lucky recipient of my 5000th tweet. oh wait. ****. this was it!
428,3d1184dabd,good
429,c2392d49e0, one of our governors is one of the directors of the company
430,a25ccabf06,internet
431,9b3fcf1668,hot
